Formant_1_Hz,Formant_2_Hz,Formant_3_Hz,Vowel
999.9999999999999,2828.125,4187.5,a
1093.75,2546.8749999999995,4031.2500000000005,a
1062.5000000000002,2625.0,4250.000000000001,a
1031.25,2765.6250000000005,4218.75,a
984.3750000000001,2906.2499999999995,4140.625,a
1031.25,2812.5,4265.625,a
1187.5,3171.8749999999995,4875.0,a
937.4999999999999,2875.0,4234.375000000001,a
1093.75,2953.125,4187.5,a
1359.3749999999998,4171.874999999999,5796.875,a
1453.1249999999998,4312.5,5921.875,a
1453.1249999999998,5875.0,7234.374999999999,a
1281.2499999999998,4515.625,5937.5,a
1390.6250000000002,4265.625,5750.0,a
1249.9999999999998,3093.7500000000005,4234.375000000001,a
1296.875,3093.7500000000005,5843.75,a
1296.875,3015.625,4468.75,a
1312.5,4234.375000000001,5718.75,a
1281.2499999999998,4406.25,5890.625,a
1374.9999999999998,3218.7499999999995,4328.125,a
1359.3749999999998,4406.25,5843.75,a
1390.6250000000002,3015.625,4437.5,a
1531.25,4531.25,5937.5,a
1328.125,3140.6250000000005,4500.0,a
1374.9999999999998,4437.5,5906.25,a
1249.9999999999998,3000.0,4578.124999999999,a
1374.9999999999998,4453.125,5734.375,a
1359.3749999999998,3031.25,4406.25,a
1359.3749999999998,2921.875,4718.750000000001,a
1687.5,4312.5,5796.875,a
1484.375,5734.375,7250.000000000001,a
1390.6250000000002,3234.3749999999995,5734.375,a
1484.375,3015.625,5781.249999999999,a
1281.2499999999998,3125.0000000000005,4609.375,a
1484.375,2843.75,4453.125,a
1453.1249999999998,2859.375,4500.0,a
1578.1250000000002,4250.000000000001,5843.75,a
1421.875,4296.875000000001,5921.875,a
1437.5,4437.5,5921.875,a
1406.25,3015.625,4703.125,a
1578.1250000000002,3203.1249999999995,5765.625,a
1374.9999999999998,3031.25,4578.124999999999,a
1500.0,3203.1249999999995,7609.375,a
1406.25,4437.5,7140.624999999999,a
1500.0,4281.25,5937.5,a
1421.875,4265.625,5921.875,a
